# id	command	category	difficulty
tcpdump-port	tcpdump port	net	12
tcpdump-host	tcpdump host	net	12
tcpdump-c	tcpdump -c	net	14
tcpdump-n	tcpdump -n	net	13
tshark	tshark	net	14
tshark-i	tshark -i	net	15
tshark-r	tshark -r	net	15
tshark-y	tshark -Y	net	16
socat-2	socat -	net	13
socat-tcp-listen8080fork	socat TCP-LISTEN:8080,fork	net	14
socat-openssl-listen443cert	socat OPENSSL-LISTEN:443,cert	net	16
socat-unix-listen-tmp-sock	socat UNIX-LISTEN:/tmp/sock	net	15
iptables-t-nat	iptables -t nat	net	13
iptables-t-mangle	iptables -t mangle	net	14
iptables-a-input-s	iptables -A INPUT -s	net	12
iptables-a-input-p	iptables -A INPUT -p	net	13
iptables-a-input-dport	iptables -A INPUT --dport	net	13
iptables-a-forward	iptables -A FORWARD	net	14
iptables-j-drop	iptables -j DROP	net	11
iptables-j-reject	iptables -j REJECT	net	12
iptables-j-log	iptables -j LOG	net	13
ip6tables	ip6tables	net	15
ip-rule	ip rule	net	14
ip-tunnel	ip tunnel	net	15
ip-maddr	ip maddr	net	15
ip-netns	ip netns	net	14
ip-netns-exec	ip netns exec	net	15
find-name-c-exec-grep-l-main	find . -name '*.c' -exec grep -l main {} \;	file	14
find-size-plus10m-exec-ls-lh	find . -size +10M -exec ls -lh {} \;	file	13
find-mtime-7-not-name-git	find . -mtime -7 -not -name '.git'	file	13
find-perm-4000	find . -perm /4000	file	14
find-type-f-delete	find . -type f -delete	file	12
sed-i-s-foo-bar-g	sed -i 's/foo/bar/g'	text	8
sed-n-pattern-p	sed -n '/pattern/p'	text	8
sed-start-stop-d	sed '/start/,/stop/d'	text	11
sed-n-1020p	sed -n '10,20p'	text	10
sed-s-g	sed 's/  */ /g'	text	9
sed-s-t	sed 's/^[ \t]*//'	text	10
awk-sum-plus1-end-print-sum	awk '{sum+=$1} END {print sum}'	text	10
awk-nrfnr-a1-next-1-in-a	awk 'NR==FNR {a[$1]; next} $1 in a'	text	12
awk-f-print-13	awk -F: '{print $1,$3}'	text	9
awk-fori1infi-plus-plus-c-plus-plus-end-print-c	awk '{for(i=1;i<=NF;i++) c++} END {print c}'	text	14
awk-seen0-plus-plus	awk '!seen[$0]++'	text	11
sort-t-k3-n-etc-passwd	sort -t: -k3 -n /etc/passwd	text	9
gdb-disassemble	gdb disassemble	dev	15
gdb-info-frame	gdb info frame	dev	16
gdb-info-registers-2	gdb info registers	dev	15
gdb-x-gx	gdb x/gx	dev	17
gdb-x-s-2	gdb x/s	dev	16
gdb-x-i	gdb x/i	dev	16
gdb-thread-apply-all-bt	gdb thread apply all bt	dev	18
gdb-catch-syscall	gdb catch syscall	dev	17
gdb-reverse-step	gdb reverse-step	dev	19
gdb-record	gdb record	dev	18
valgrind-toolcallgrind-2	valgrind --tool=callgrind	dev	15
valgrind-toolmassif-2	valgrind --tool=massif	dev	15
valgrind-toolhelgrind-2	valgrind --tool=helgrind	dev	16
valgrind-tooldrd	valgrind --tool=drd	dev	17
valgrind-vgdb-error	valgrind --vgdb-error	dev	18
perf-probe	perf probe	dev	16
perf-trace	perf trace	dev	15
perf-sched	perf sched	dev	17
perf-lock	perf lock	dev	17
perf-kmem	perf kmem	dev	18
perf-c2c	perf c2c	dev	19
perf-diff	perf diff	dev	16
bpftrace-l	bpftrace -l	dev	18
bpftrace-tracepointsyscalls	bpftrace tracepoint:syscalls:*	dev	19
sed-n-start-plus5p	sed -n '/start/,+5p'	text	13
sed-n-n-d	sed '/^$/{N;/^\n$/D}'	text	15
sed-hxs-n-gp	sed 'H;${x;s/\n/,/g;p}'	text	17
awk-nr1-nr1print-0-sort-n	awk 'NR==1; NR>1{print $0 | "sort -n"}'	text	16
awk-a1-plus2-endfork-in-a-print-kak	awk '{a[$1]+=$2} END{for(k in a) print k,a[k]}'	text	14
awk-length-80	awk 'length > 80'	text	13
awk-printf-s-ts-n-1-2	awk '{printf "%s\\t%s\\n", $1, $2}'	text	14
dd-if-dev-zero-offile-bs1m-count100	dd if=/dev/zero of=file bs=1M count=100	file	14
dd-if-dev-urandom-offile-bs1m-count10	dd if=/dev/urandom of=file bs=1M count=10	file	15
dd-if-dev-sda-ofdisk-img-bs4k-convsyncnoerror	dd if=/dev/sda of=disk.img bs=4K conv=sync,noerror	file	17
dd-iffile-offile2-bs1m-seek10	dd if=file of=file2 bs=1M seek=10	file	16
dd-convfsync	dd conv=fsync	file	16
iptables-a-input-m-conntrack-ctstate-relatedestablished-j-accept	iptables -A INPUT -m conntrack --ctstate RELATED,ESTABLISHED -j ACCEPT	net	16
iptables-a-input-m-limit-limit-10-min-j-log	iptables -A INPUT -m limit --limit 10/min -j LOG	net	15
iptables-a-input-m-state-state-invalid-j-drop	iptables -A INPUT -m state --state INVALID -j DROP	net	15
ip-link-add-veth0-type-veth-peer-name-veth1	ip link add veth0 type veth peer name veth1	net	16
ip-netns-add-ns1	ip netns add ns1	net	15
ip-link-set-veth0-netns-ns1	ip link set veth0 netns ns1	net	16
nmap-ss-sv-o-p	nmap -sS -sV -O -p-	dev	17
nmap-scriptvuln	nmap --script=vuln	dev	16
nmap-sn-192-168-1-0-24	nmap -sn 192.168.1.0/24	dev	13
openssl	openssl	net	15
openssl-sclient	openssl s_client	net	16
openssl-sserver	openssl s_server	net	17
openssl-x509-in-cert-pem-text-noout	openssl x509 -in cert.pem -text -noout	net	16
openssl-req-new-x509	openssl req -new -x509	net	16
openssl-enc-aes-256-cbc	openssl enc -aes-256-cbc	net	17
openssl-speed	openssl speed	net	15
openssl-rand-hex-32	openssl rand -hex 32	net	15
ssh-l-8080localhost80-userhost	ssh -L 8080:localhost:80 user@host	net	13
ssh-r-8080localhost80-userhost	ssh -R 8080:localhost:80 user@host	net	14
ssh-d-1080-userhost	ssh -D 1080 user@host	net	14
ssh-o-stricthostkeycheckingno	ssh -o StrictHostKeyChecking=no	net	13
ssh-o-proxyjumpuserbastion	ssh -o ProxyJump=user@bastion	net	15
scp-3-user1host1file-user2host2	scp -3 user1@host1:file user2@host2:	net	15
