# id	description
ls	Listaa hakemiston sisältö
userdel	Poista käyttäjätili
userdel-r	Poista kotihakemisto
usermod	Muokkaa käyttäjätiliä
usermod-ag	Lisää ryhmiin
usermod-l	Lukitse käyttäjätili
usermod-l-2	Lukitse käyttäjätili
usermod-u	Avaa käyttäjätilin lukitus
passwd	Vaihda käyttäjän salasana
passwd-l	Lukitse salasana
passwd-u	Avaa salasanan lukitus
passwd-d	Poista salasana
passwd-s	Näytä salasanan tila
groupadd	Luo uusi ryhmä
groupadd-r	Luo järjestelmäryhmä
groupdel	Poista ryhmä
groupmod	Muokkaa ryhmää
whoami	Tulosta nykyinen käyttäjänimi
who	Näytä kuka on kirjautunut
who-b	Näytä viimeinen käynnistysaika
who-r	Näytä suoritustaso
last	Näytä viimeksi kirjautuneet käyttäjät
last-n	Näytä viimeiset N merkintää
last-x	Näytä sammutus/suoritustaso
lastb	Näytä epäonnistuneet kirjautumisyritykset
users	Listaa nykyiset kirjautuneet käyttäjät
faillog	Kirjautumisvirhetietueet
chage	Muuta käyttäjän salasanan vanhentumistietoja
chage-l	Listaa salasanan vanhentumistiedot
chage-m	Aseta salasanan enimmäisikä
getent	Hae tietueita tietokannoista
getent-passwd	Listaa käyttäjät passwdista
getent-group	Listaa ryhmät
getent-hosts	Listaa isännät
visudo	Muokkaa sudoers-tiedostoa turvallisesti
adduser	Luo uusi käyttäjä vuorovaikutteisesti
deluser	Poista käyttäjä
deluser-remove-home	Poista kotihakemiston kanssa
newgrp	Kirjaudu uuteen ryhmään
setfacl	Aseta tiedostojen pääsynvalvontalistoja
setfacl-m	Muokkaa ACL:ää
setfacl-x	Poista ACL-merkintä
setfacl-r	Rekursiivinen ACL
getfacl	Hae tiedostojen pääsynvalvontalistat
groups-2	Tulosta ryhmäjäsenyydet
umask	Aseta tiedostonluontimaski
umask-s	Symbolinen umask
chmod	Muuta tiedoston tilabittejä
chmod-plusx	Tee tiedostosta suoritettava
chmod-r	Muuta oikeuksia rekursiivisesti
chmod-755	Aseta rwxr-xr-x-oikeudet
chmod-644	Aseta rw-r--r---oikeudet
chmod-u-pluss	Aseta SUID-bitti
chmod-g-pluss	Aseta SGID-bitti
chmod-plust	Aseta tarttumisbitti
chown	Muuta tiedoston omistajaa ja ryhmää
chown-r	Rekursiivinen chown
chown-usergroup	Muuta omistaja ja ryhmä
chgrp	Muuta ryhmän omistajuutta
chgrp-r	Rekursiivinen chgrp
apt	Debian-pakettienhallintatyökalu
apt-update	Päivitä paketti-indeksi
apt-upgrade	Päivitä kaikki päivitettävissä olevat paketit
apt-full-upgrade	Päivitä riippuvuusmuutoksilla
apt-install	Asenna paketti
apt-remove	Poista paketti
apt-autoremove	Poista käyttämättömät paketit
apt-purge	Poista paketti ja asetustiedostot
apt-search	Etsi paketteja
apt-show	Näytä paketin tiedot
apt-list	Listaa paketit kriteerien mukaan
apt-list-installed	Listaa asennetut paketit
apt-list-upgradable	Listaa päivitettävät paketit
apt-edit-sources	Muokkaa sources.list-tiedostoa
apt-mark	Merkitse paketit pito/automaatti
apt-mark-hold	Pidä paketti nykyisessä versiossa
dpkg	Debian-pakettienhallinta matalalla tasolla
dpkg-i	Asenna Debian-paketti
dpkg-r	Poista Debian-paketti
dpkg-l	Listaa paketin asentamat tiedostot
dpkg-l-2	Listaa paketin asentamat tiedostot
dpkg-s	Etsi paketti, joka omistaa tiedoston
dpkg-p	Poista paketti kokonaan
dpkg-configure	Määritä uudelleen purettu paketti
dpkg-reconfigure	Määritä asennettu paketti uudelleen
snap	Snap-pakettienhallinta
snap-install	Asenna snap-paketti
snap-remove	Poista snap-paketti
snap-list	Listaa asennetut snapit
snap-find	Etsi snap-paketteja
snap-refresh	Päivitä snap-paketit
snap-revert	Palauta snap edelliseen versioon
flatpak	Flatpak-sovellustenhallinta
flatpak-install	Asenna Flatpak-sovellus
flatpak-run	Suorita Flatpak-sovellus
flatpak-list	Listaa asennetut Flatpakit
flatpak-update	Päivitä Flatpak-sovellukset
flatpak-remove	Poista Flatpak-sovellus
flatpak-search	Etsi Flatpak-etäsäilytyspaikasta
flatpak-override	Ohita oikeudet
rpm	RPM-pakettienhallinta
rpm-i	Asenna RPM-paketti
rpm-e	Poista RPM-paketti
rpm-q	Kysy RPM-tietokantaa
rpm-qa	Kysy kaikkia asennettuja paketteja
rpm-v	Vahvista asennetut paketit
rpm-qf	Kysy tiedoston omistajuutta
rpm-ql	Listaa paketin tiedostot
make	Rakenna kohteet Makefilestä
make-clean	Poista rakennusjäänteet
make-install	Asenna käännetty ohjelma
make-j	Rakenna rinnakkaisilla töillä
make-f	Käytä mukautettua Makefileä
cmake	Alustariippumaton rakennusjärjestelmän generaattori
cmake-2	Luo rakennustiedostot nykyiseen hakemistoon
cmake-d	Aseta CMake-muuttuja
cmake-build	Rakenna CMakella
cmake-install	Asenna CMakella
git	Hajautettu versiohallintajärjestelmä
git-clone	Kloonaa säilytyspaikka
git-clone-depth	Matala klooni
git-commit	Tallenna muutokset säilytyspaikkaan
git-commit-m	Versioi liitetyllä viestillä
git-commit-a	Valmistele ja versioi kaikki muutokset
git-commit-amend	Korjaa edellinen versio
git-push	Työnnä muutokset etäsäilytyspaikkaan
git-push-origin	Työnnä tiettyyn etäsäilytyspaikkaan
git-push-force	Pakotettu työntö
git-pull	Vedä muutokset etäsäilytyspaikasta
git-pull-rebase	Vedä uudelleenpohjauksella
git-add	Lisää tiedoston sisältö indeksiin
git-add-p	Lisää vuorovaikutteisesti paloina
git-add-2	Lisää kaikki muutokset
git-status	Näytä työpuun tila
git-status-s	Lyhyt tilatuloste
git-diff	Näytä muutoksia versioiden välillä
git-diff-cached	Näytä valmistellut muutokset
git-diff-stat	Näytä diff-tilastot
git-log	Näytä versiolokit
git-log-oneline	Yhden rivin versioloki
git-log-graph	Graafinen haarahistoria
git-log-p	Näytä korjaukset lokissa
git-branch	Listaa tai hallitse haaroja
git-branch-d	Pakotettu haaran poisto
git-branch-d-2	Pakotettu haaran poisto
git-branch-a	Listaa kaikki haarat
git-checkout	Vaihda haaraa tai palauta tiedostoja
git-checkout-b	Luo ja vaihda uuteen haaraan
git-merge	Yhdistä haaroja
git-merge-no-ff	Yhdistä ilman suoraa siirtoa
git-rebase	Aseta versiot uudelleen toisen pohjan päälle
git-rebase-i	Vuorovaikutteinen uudelleenpohjaus
git-stash	Talleta muutokset väliaikaisesti
git-stash-pop	Käytä ja hylkää talletus
git-stash-list	Listaa talletukset
git-fetch	Nouda etäsäilytyspaikasta
git-remote-v	Näytä etäsäilytyspaikat
git-tag	Luo git-tagi
git-revert	Palauta versio
git-reset	Palauta nykyinen HEAD
git-reset-hard	Kova palautus
git-rm	Poista tiedostot seurannasta
git-mv	Siirrä tiedosto gitissä
git-config	Hae/aseta git-asetus
git-config-global	Aseta globaali git-asetus
git-config-global-user-name	Aseta git-käyttäjänimi
git-config-global-user-email	Aseta git-sähköposti
git-init	Alusta uusi säilytyspaikka
git-blame	Näytä versio riviä kohti
git-bisect	Binäärihaku virheille
git-cherry-pick	Käytä tiettyä versiota
gcc	GNU C -kääntäjä
gcc-o	Määritä tulostetiedoston nimi
gcc-wall	Ota kaikki varoitukset käyttöön
gcc-g	Sisällytä debug-symbolit
gcc-o2	Optimointitaso 2
gcc-c	Käännä vain, älä linkkaa
gcc-i	Lisää include-hakemisto
gcc-l	Linkkaa kirjaston kanssa
gcc-l-2	Linkkaa kirjaston kanssa
gcc-d	Määritä esikäsittelijämakro
gcc-stdc11	Aseta C-standardi
gcc-fsanitize	Ota puhdistin käyttöön
gcc-e	Vain esikäsittely
gcc-s	Käännä assemblyksi
g-plus-plus	GNU C++ -kääntäjä
g-plus-plus-stdc-plus-plus11	Aseta C++-standardi
clang	C-kieliperheen etuosa LLVM:lle
clang-o2	Optimoi clangilla
clang-fsanitize	Clang-puhdistin
gdb	GNU-debuggeri
gdb-run	Suorita ohjelma debuggerin alla
gdb-break	Aseta keskeytyskohta debuggerissa
gdb-next	Ohita askel debuggerissa
gdb-step	Astu sisään debuggerissa
gdb-continue	Jatka suoritusta
gdb-print	Tulosta muuttujan arvo
gdb-backtrace	Näytä kutsupino
gdb-info-registers	Näytä suorittimen rekisterit gdb:ssä
gdb-x-s	Tutki muistia merkkijonona
gdb-attach	Liity käynnissä olevaan prosessiin
valgrind	Muistin debuggaus ja profilointi
valgrind-leak-check	Tarkista muistivuodot
valgrind-toolcallgrind	Kutsugraafiprofilointi valgrindilla
valgrind-toolhelgrind	Säikevirheiden tunnistus valgrindilla
valgrind-toolmassif	Keon profilointi valgrindilla
valgrind-v	Yksityiskohtainen valgrind-tuloste
ldd	Tulosta jaetun kirjaston riippuvuudet
ldd-v	Yksityiskohtainen ldd
ldd-r	Tarkista ratkaisemattomat symbolit
objdump	Näytä olioitedoston tietoja
objdump-d	Pura olioitedosto konekielestä
objdump-t	Näytä symbolitaulu
objdump-h	Näytä osio-otsikot
nm	Listaa symboleja olioitedostoista
nm-c	Pura C++-symbolit
nm-a	Näytä debug-symbolit
strip	Poista symboleja olioitedostoista
strip-strip-debug	Poista vain debug-symbolit
ar	Luo ja hallitse arkistokirjastoja
ar-rcs	Luo staattinen kirjasto
ar-t	Listaa arkiston jäsenet
autoconf	Luo määritysskriptejä
configure	Määritä lähdekoodi käännöstä varten
configure-prefix	Asenna etuliite
configure-enable	Ota tietty ominaisuus käyttöön
configure-with	Ota riippuvuus käyttöön
patch-2	Käytä diff-tiedostoa alkuperäiseen
ctags	Luo tag-tiedostoja lähdekoodille
ctags-r	Rekursiivinen tag-generointi
cscope	Vuorovaikutteinen lähdekoodin selain
indent	Muotoile C-lähdekoodia
pkg-config	Palauta kääntäjän liput kirjastoille
pkg-config-cflags	Näytä include-liput
pkg-config-libs	Näytä kirjastoliput
pkg-config-list-all	Listaa kaikki paketit
pkg-config-modversion	Näytä paketin versio
ccache	Käännösvälimuisti
distcc	Hajautettu C-kääntäjä
ninja	Pieni rakennusjärjestelmävaihtoehto
meson	Suorituskykyinen rakennusjärjestelmä
meson-setup	Määritä meson-rakennus
meson-compile	Käännä mesonilla
meson-test	Suorita testit mesonilla
perf	Linux-suorituskyvyn profilointityökalu
perf-stat	Mittaa suorituskykylaskurit
perf-record	Tallenna suorituskykytietoa
perf-report	Näytä tallennettu suorituskykytieto
perf-top	Reaaliaikainen suorituskyvyn seuranta
perf-annotate	Merkitse perf-data lähdekoodilla
perf-script	Näytä perf-data skriptinä
bpftrace	Dynaaminen jäljitystyökalu eBPF:lle
bpftrace-e	Yhden rivin bpftrace-anturi
strace-e-traceopenreadwrite	Jäljitä tiettyjä järjestelmäkutsuja
strace-c-2	Laske järjestelmäkutsutilastot
objdump-m-intel-d	Pura konekielestä Intel-syntaksilla
objdump-s	Pura lähdekoodi lomittain
readelf	Näytä ELF-tiedoston tiedot
readelf-a	Näytä kaikki ELF-tiedot
readelf-s	Näytä ELF-symbolitaulu
readelf-r	Näytä ELF-sijoitusinfo
objcopy	Kopioi ja muunna oliotiedostoja
objcopy-strip-debug	Poista debug-osiöt
objcopy-add-gnu-debuglink	Lisää ulkoinen debuggausinfo
size	Näytä oliotiedoston osiokoot
size-d	Näytä dataosion koko
tcpdump	Sieppaa ja analysoi verkkoliikennettä
tcpdump-i	Sieppaa tietyllä liittymällä
tcpdump-x	Tulosta heksa ja ASCII paketeista
tcpdump-w	Kirjoita sieppaus tiedostoon
tcpdump-r	Lue sieppaus tiedostosta
tcpdump-port	Suodata sieppausta portin mukaan
tcpdump-host	Suodata sieppausta isännän mukaan
tcpdump-c	Sieppaa N pakettia ja lopeta
tcpdump-n	Älä selvitä isäntänimiä
tshark	Wiresharkin komentoriviliittymä
tshark-i	Sieppaa liittymällä tsharkilla
tshark-r	Lue sieppaustiedosto
tshark-y	Näytä suodatinlauseke
socat-2	Kaksisuuntainen tiedonsiirto stdion kautta
socat-tcp-listen8080fork	TCP-palvelin haarautuksella
socat-openssl-listen443cert	SSL-palvelin socatilla
socat-unix-listen-tmp-sock	Unix-pistorasiapalvelin
iptables-t-nat	NAT-taulun säännöt
iptables-t-mangle	Muokkauslista pakettien muokkaukseen
iptables-a-input-s	Lähdeosoitesuodatin
iptables-a-input-p	Protokollavertailu
iptables-a-input-dport	Kohdeporttivertailu
iptables-a-forward	Välitysketjun säännöt
iptables-j-drop	Pudota paketti -kohde
iptables-j-reject	Hylkää paketti -kohde
iptables-j-log	Kirjaa paketti -kohde
ip6tables	IPv6-palomuurin hallinta
ip-rule	IP-käytäntöreititys
ip-tunnel	IP-tunnelin konfigurointi
ip-maddr	Monilähetysosoitteiden hallinta
ip-netns	Verkkonimiavaruuksien hallinta
ip-netns-exec	Suorita verkkonimiavaruudessa
find-name-c-exec-grep-l-main	Etsi C-tiedostot, jotka sisältävät mainin
find-size-plus10m-exec-ls-lh	Etsi ja listaa suuret tiedostot
find-mtime-7-not-name-git	Etsi hiljattain muokatut ilman .git
find-perm-4000	Etsi SUID-tiedostot
find-type-f-delete	Poista kaikki tavalliset tiedostot
sed-i-s-foo-bar-g	Korvaa kaikki foo barilla paikan päällä
sed-n-pattern-p	Tulosta mallia vastaavat rivit
sed-start-stop-d	Poista rivit kahden kuvion välillä
sed-n-1020p	Tulosta rivit 10-20
sed-s-g	Tiivistä useat välilyönnit
sed-s-t	Poista alussa olevat välilyönnit
awk-sum-plus1-end-print-sum	Summaa ensimmäinen sarake
awk-nrfnr-a1-next-1-in-a	Yhdistä avaimet tiedostojen välillä
awk-f-print-13	Tulosta tietyt kentät mukautetulla erottimella
awk-fori1infi-plus-plus-c-plus-plus-end-print-c	Laska sanojen kokonaismäärä
awk-seen0-plus-plus	Poista kaksoiskappaleet säilyttäen järjestys
sort-t-k3-n-etc-passwd	Järjestä passwd UID:n mukaan
gdb-disassemble	Pura funktio konekieleksi gdb:ssä
gdb-info-frame	Näytä kehystieto gdb:ssä
gdb-info-registers-2	Näytä suorittimen rekisterit gdb:ssä
gdb-x-gx	Tutki muistia jättiläissanoina
gdb-x-s-2	Tutki muistia merkkijonona
gdb-x-i	Tutki muistia konekäskyinä
gdb-thread-apply-all-bt	Takaisinjalanjälki kaikista säikeistä
gdb-catch-syscall	Sieppaa järjestelmäkutsu gdb:ssä
gdb-reverse-step	Käänteinen askel gdb:ssä
gdb-record	Aloita käänteisen suorituksen tallennus
valgrind-toolcallgrind-2	Kutsugraafiprofilointi valgrindilla
valgrind-toolmassif-2	Keon profilointi valgrindilla
valgrind-toolhelgrind-2	Säikevirheiden tunnistus valgrindilla
valgrind-tooldrd	Säikeiden datakilpailun tunnistin
valgrind-vgdb-error	Odota gdb:tä virheen sattuessa
perf-probe	Lisää dynaamisia mittauspisteitä
perf-trace	Järjestelmänlaajuinen jäljitys
perf-sched	Aikatauluanalyysi
perf-lock	Lukitusanalyysi
perf-kmem	Muistinvarausanalyysi
perf-c2c	Cache-to-cache väärän jakamisen tunnistus
perf-diff	Vertaa perf-tietotiedostoja
bpftrace-l	Listaa BPF-mittauspisteet
bpftrace-tracepointsyscalls	Jäljitä kaikki järjestelmäkutsut bpftracella
sed-n-start-plus5p	Tulosta 5 riviä kuvion jälkeen
sed-n-n-d	Tiivistä useat tyhjät rivit yhdeksi
sed-hxs-n-gp	Yhdistä kaikki rivit pilkulla
awk-nr1-nr1print-0-sort-n	Järjestä data säilyttäen otsake
awk-a1-plus2-endfork-in-a-print-kak	Summaa summat avaimen mukaan
awk-length-80	Tulosta rivit, jotka ovat yli 80 merkkiä
awk-printf-s-ts-n-1-2	Muotoile tuloste sarkaimilla
dd-if-dev-zero-offile-bs1m-count100	Luo 100 megatavun nollatiedosto
dd-if-dev-urandom-offile-bs1m-count10	Luo satunnainen datatiedosto
dd-if-dev-sda-ofdisk-img-bs4k-convsyncnoerror	Raaka levyvarmistus dd:llä
dd-iffile-offile2-bs1m-seek10	Kirjoita tiettyyn sijaintiin
dd-convfsync	Synkronoi tuloste dd:n jälkeen
iptables-a-input-m-conntrack-ctstate-relatedestablished-j-accept	Salli vakiintuneet yhteydet
iptables-a-input-m-limit-limit-10-min-j-log	Rajoitettu LOG-nopeus
iptables-a-input-m-state-state-invalid-j-drop	Pudota virheelliset paketit
ip-link-add-veth0-type-veth-peer-name-veth1	Luo virtuaalinen ethernet-pari
ip-netns-add-ns1	Luo verkkonimiavaruus
ip-link-set-veth0-netns-ns1	Siirrä liittymä nimiavaruuteen
nmap-ss-sv-o-p	Täysi piiloskannaus version tunnistuksella
nmap-scriptvuln	Nmap-haavoittuvuusskannaus
nmap-sn-192-168-1-0-24	Ping-skannaa aliverkko
openssl	OpenSSL-salaustyökalu
openssl-sclient	SSL/TLS-asiakas testausta varten
openssl-sserver	SSL/TLS-testipalvelin
openssl-x509-in-cert-pem-text-noout	Näytä varmenteen tiedot
openssl-req-new-x509	Luo itseallekirjoitettu varmenne
openssl-enc-aes-256-cbc	Salaa tiedosto AES:llä
openssl-speed	Vertailuarvo salaausalgoritmeille
openssl-rand-hex-32	Luo satunnainen heksadesimaalimerkkijono
ssh-l-8080localhost80-userhost	Paikallinen SSH-portinvälitys
ssh-r-8080localhost80-userhost	Etä-SSH-portinvälitys
ssh-d-1080-userhost	Dynaaminen SOCKS-välityspalvelin SSH:n kautta
ssh-o-stricthostkeycheckingno	Ohita isäntäavaimen tarkistus
ssh-o-proxyjumpuserbastion	SSH-tukipalvelimen kautta
scp-3-user1host1file-user2host2	Kopioi etäisäntien välillä paikallisen kautta
